id,name,pop2018,fips
0500000US22063,"Livingston Parish, Louisiana",139567,22063
0500000US22071,"Orleans Parish, Louisiana",391006,22071
0500000US22073,"Ouachita Parish, Louisiana",154475,22073
0500000US22079,"Rapides Parish, Louisiana",130562,22079
0500000US22097,"St. Landry Parish, Louisiana",82764,22097
0500000US22103,"St. Tammany Parish, Louisiana",258111,22103
0500000US22105,"Tangipahoa Parish, Louisiana",133777,22105
0500000US22109,"Terrebonne Parish, Louisiana",111021,22109
0500000US23001,"Androscoggin County, Maine",107679,23001
0500000US23003,"Aroostook County, Maine",67111,23003
0500000US23005,"Cumberland County, Maine",293557,23005
0500000US23011,"Kennebec County, Maine",122083,23011
0500000US23019,"Penobscot County, Maine",151096,23019
0500000US23031,"York County, Maine",206229,23031
0500000US24001,"Allegany County, Maryland",70975,24001
0500000US24003,"Anne Arundel County, Maryland",576031,24003
0500000US24005,"Baltimore County, Maryland",828431,24005
0500000US24009,"Calvert County, Maryland",92003,24009
0500000US24013,"Carroll County, Maryland",168429,24013
0500000US24015,"Cecil County, Maryland",102826,24015
0500000US24017,"Charles County, Maryland",161503,24017
0500000US24021,"Frederick County, Maryland",255648,24021
0500000US24025,"Harford County, Maryland",253956,24025
0500000US24027,"Howard County, Maryland",323196,24027
0500000US24031,"Montgomery County, Maryland",1052567,24031
0500000US24033,"Prince George's County, Maryland",909308,24033
0500000US24037,"St. Mary's County, Maryland",112664,24037
0500000US24043,"Washington County, Maryland",150926,24043
0500000US24045,"Wicomico County, Maryland",103195,24045
0500000US24510,"Baltimore city, Maryland",602495,24510
0500000US25001,"Barnstable County, Massachusetts",213413,25001
0500000US25003,"Berkshire County, Massachusetts",126348,25003
0500000US25005,"Bristol County, Massachusetts",564022,25005
0500000US25009,"Essex County, Massachusetts",790638,25009
0500000US25011,"Franklin County, Massachusetts",70963,25011
0500000US25013,"Hampden County, Massachusetts",470406,25013
0500000US25015,"Hampshire County, Massachusetts",161355,25015
0500000US25017,"Middlesex County, Massachusetts",1614714,25017
0500000US25021,"Norfolk County, Massachusetts",705388,25021
0500000US25023,"Plymouth County, Massachusetts",518132,25023
0500000US25025,"Suffolk County, Massachusetts",807252,25025
0500000US25027,"Worcester County, Massachusetts",830839,25027
0500000US26005,"Allegan County, Michigan",117327,26005
0500000US26017,"Bay County, Michigan",103923,26017
0500000US26021,"Berrien County, Michigan",154141,26021
0500000US26025,"Calhoun County, Michigan",134487,26025
0500000US26037,"Clinton County, Michigan",79332,26037
0500000US26045,"Eaton County, Michigan",109826,26045
0500000US26049,"Genesee County, Michigan",406892,26049
0500000US26055,"Grand Traverse County, Michigan",92573,26055
0500000US26065,"Ingham County, Michigan",292735,26065
0500000US26073,"Isabella County, Michigan",70562,26073
0500000US26075,"Jackson County, Michigan",158823,26075
0500000US26077,"Kalamazoo County, Michigan",264870,26077
0500000US26081,"Kent County, Michigan",653786,26081
0500000US26087,"Lapeer County, Michigan",88028,26087
0500000US26091,"Lenawee County, Michigan",98266,26091
0500000US26093,"Livingston County, Michigan",191224,26093
0500000US26099,"Macomb County, Michigan",874759,26099
0500000US26103,"Marquette County, Michigan",66516,26103
0500000US26111,"Midland County, Michigan",83209,26111
0500000US26115,"Monroe County, Michigan",150439,26115
0500000US26121,"Muskegon County, Michigan",173588,26121
0500000US26125,"Oakland County, Michigan",1259201,26125
0500000US26139,"Ottawa County, Michigan",290494,26139
0500000US26145,"Saginaw County, Michigan",190800,26145
0500000US26147,"St. Clair County, Michigan",159337,26147
0500000US26155,"Shiawassee County, Michigan",68192,26155
0500000US26159,"Van Buren County, Michigan",75448,26159
0500000US26161,"Washtenaw County, Michigan",370963,26161
0500000US26163,"Wayne County, Michigan",1753893,26163
0500000US27003,"Anoka County, Minnesota",353813,27003
0500000US27013,"Blue Earth County, Minnesota",67427,27013
0500000US27019,"Carver County, Minnesota",103551,27019
0500000US27037,"Dakota County, Minnesota",425423,27037
0500000US27053,"Hennepin County, Minnesota",1259428,27053
0500000US27109,"Olmsted County, Minnesota",156277,27109
0500000US27123,"Ramsey County, Minnesota",550210,27123
0500000US27131,"Rice County, Minnesota",66523,27131
0500000US27137,"St. Louis County, Minnesota",199754,27137
0500000US27139,"Scott County, Minnesota",147381,27139
0500000US27141,"Sherburne County, Minnesota",96036,27141
0500000US27145,"Stearns County, Minnesota",159256,27145
0500000US27163,"Washington County, Minnesota",259201,27163
0500000US27171,"Wright County, Minnesota",136349,27171
0500000US28033,"DeSoto County, Mississippi",182001,28033
0500000US28035,"Forrest County, Mississippi",75036,28035
0500000US28047,"Harrison County, Mississippi",206650,28047
0500000US28049,"Hinds County, Mississippi",237085,28049
